Date,Open,High,Low,Close,Adj Close,Volume
2014-07-24,280.149994,282.649994,271.649994,275.700012,270.294220,3952702
2014-07-25,272.899994,276.000000,263.049988,268.049988,262.794220,5432866
2014-07-28,267.750000,277.750000,264.750000,266.000000,260.784393,5082312
2014-07-30,267.000000,268.299988,259.149994,263.649994,258.480499,6091746
2014-07-31,262.049988,265.500000,259.450012,260.549988,256.413818,7890098
2014-08-01,257.350006,263.250000,255.600006,259.250000,255.134445,6097901
2014-08-04,260.049988,266.399994,258.500000,265.450012,261.236053,4251061
2014-08-05,264.600006,269.649994,262.500000,265.799988,261.580505,5848392
2014-08-06,265.850006,275.750000,265.100006,268.500000,264.237610,6978210
2014-08-07,269.899994,273.000000,263.649994,266.149994,261.924896,3496953
2014-08-08,262.000000,263.899994,258.299988,262.100006,257.939209,4238796
2014-08-11,265.600006,272.250000,265.000000,270.000000,265.713806,4305779
2014-08-12,273.000000,274.950012,270.100006,271.350006,267.042358,3262251
2014-08-13,270.250000,275.250000,265.700012,274.399994,270.043945,3863196
2014-08-14,276.000000,276.000000,268.750000,272.399994,268.075684,2321776
2014-08-18,273.799988,277.899994,273.000000,273.600006,269.256683,2499975
2014-08-19,275.450012,289.649994,275.200012,287.149994,282.591553,5479772
2014-08-20,287.950012,297.500000,284.950012,293.149994,288.496307,11384639
2014-08-21,294.399994,301.350006,293.350006,296.899994,292.186768,6936813
2014-08-22,296.950012,300.399994,294.250000,297.700012,292.974060,4107903
2014-08-25,297.299988,301.000000,291.700012,293.350006,288.693115,2557796
2014-08-26,292.500000,300.899994,289.250000,298.000000,293.269287,2768112
2014-08-27,299.250000,302.700012,284.299988,288.250000,283.674103,3607703
2014-08-28,289.700012,293.850006,281.350006,282.850006,278.359802,3637436
2014-09-01,285.799988,287.549988,276.299988,286.500000,281.951874,3598155
2014-09-02,285.899994,291.500000,285.899994,288.850006,284.264587,2060621
2014-09-03,290.149994,294.950012,287.950012,289.100006,284.510590,2780904
2014-09-04,289.100006,292.899994,286.399994,289.299988,284.707428,5686505
2014-09-05,290.799988,292.899994,286.399994,290.149994,285.543915,1540290
2014-09-08,289.750000,301.500000,289.750000,299.799988,295.040710,3472358
2014-09-09,300.799988,301.200012,293.649994,295.200012,290.513794,1903788
2014-09-10,291.000000,296.750000,288.000000,293.450012,288.791565,3601230
2014-09-11,294.700012,295.450012,290.100006,293.450012,288.791565,1911504
2014-09-12,294.149994,299.899994,292.549988,293.500000,288.840790,2602822
2014-09-15,291.899994,294.000000,288.500000,291.799988,287.167725,1273200
2014-09-16,291.799988,292.799988,278.399994,279.700012,275.259827,2068845
2014-09-17,280.000000,284.000000,271.799988,282.450012,277.966187,2458969
2014-09-18,280.000000,296.000000,278.149994,294.600006,289.923309,3210047
2014-09-19,294.799988,295.399994,283.600006,284.950012,280.426453,3571431
2014-09-22,283.899994,288.700012,282.049988,285.799988,281.262970,1729402
2014-09-23,287.299988,288.399994,272.100006,273.100006,268.764618,2629647
2014-09-24,274.799988,274.799988,261.100006,268.250000,263.991577,5118762
2014-09-25,271.000000,271.450012,264.250000,267.899994,263.647125,5305786
2014-09-26,269.000000,281.750000,267.250000,279.950012,275.505890,3311604
2014-09-29,281.899994,285.700012,277.100006,281.450012,276.982025,4799075
2014-09-30,278.700012,285.850006,275.100006,277.549988,273.143951,2567794
2014-10-01,277.049988,283.350006,272.500000,275.149994,270.782043,1937730
2014-10-07,274.149994,275.149994,256.500000,259.899994,255.774124,5687206
2014-10-08,260.899994,264.850006,258.549988,261.149994,257.004333,2156752
2014-10-09,262.750000,270.700012,262.649994,269.799988,265.516937,2010254
2014-10-10,268.000000,268.000000,257.600006,258.899994,254.789993,1876136
2014-10-13,257.000000,263.799988,252.000000,260.500000,256.364624,2155274
2014-10-14,263.000000,264.500000,255.000000,260.149994,256.020142,3429442
2014-10-15,260.149994,260.149994,260.149994,260.149994,256.020142,0
2014-10-16,258.700012,262.500000,251.050003,252.949997,248.934464,2214333
2014-10-17,254.449997,255.550003,244.100006,250.350006,246.375748,3201427
2014-10-20,253.899994,261.649994,253.500000,258.899994,254.789993,2122596
2014-10-21,260.950012,265.000000,257.600006,261.899994,257.742401,1999783
2014-10-22,264.500000,269.850006,263.200012,269.000000,264.729675,2777106
2014-10-27,270.799988,270.899994,262.649994,263.850006,259.661438,893003
2014-10-28,263.500000,266.049988,260.000000,261.399994,257.250336,1208043
2014-10-29,264.000000,272.500000,262.899994,271.950012,267.632843,2843234
2014-10-30,272.799988,274.450012,270.100006,271.850006,267.534485,2122837
2014-10-31,275.799988,288.000000,274.299988,285.649994,281.115387,2716153
2014-11-03,287.399994,293.500000,283.500000,291.500000,286.872498,2314825
2014-11-05,292.000000,294.600006,285.100006,288.750000,284.166138,1797633
2014-11-07,288.600006,295.750000,284.049988,292.899994,288.250275,1615079
2014-11-10,292.950012,300.950012,287.399994,290.700012,286.085175,5822567
2014-11-11,294.000000,296.450012,289.000000,291.500000,286.872498,1984726
2014-11-12,295.600006,306.350006,295.000000,300.700012,295.926453,6066400
2014-11-13,302.100006,304.899994,291.299988,294.250000,289.578857,2585938
2014-11-14,295.250000,298.899994,292.299988,297.250000,292.531219,1540791
2014-11-17,297.200012,297.200012,292.399994,296.100006,291.399506,1170407
2014-11-18,297.000000,305.000000,296.799988,303.100006,298.288361,2537080
2014-11-19,304.700012,307.250000,296.000000,300.149994,295.385193,3988326
2014-11-20,299.950012,301.899994,292.450012,300.250000,295.483582,1669583
2014-11-21,300.049988,304.750000,297.549988,303.049988,298.239166,3515231
2014-11-24,302.000000,308.750000,302.000000,306.299988,301.437531,3374221
2014-11-25,306.000000,306.799988,294.500000,298.700012,293.958221,2054557
2014-11-26,297.200012,300.600006,293.049988,296.799988,292.088348,1374295
2014-11-27,294.549988,298.000000,289.000000,290.350006,285.740784,2123941
2014-11-28,290.049988,297.850006,288.500000,290.250000,285.642334,1925459
2014-12-01,290.000000,292.450012,284.000000,289.000000,284.412201,1974590
2014-12-02,288.000000,291.600006,285.000000,286.149994,281.607422,2280967
2014-12-03,285.750000,293.000000,285.750000,291.250000,286.626495,1637493
2014-12-04,291.450012,293.649994,285.000000,286.200012,281.656647,1869475
2014-12-05,286.549988,291.149994,283.000000,284.549988,280.032837,2638164
2014-12-08,282.600006,284.700012,276.000000,276.799988,272.405853,1157284
2014-12-09,275.049988,279.850006,266.049988,269.200012,264.926514,1934181
2014-12-10,269.000000,277.600006,268.350006,275.250000,270.880463,1964268
2014-12-11,273.600006,282.500000,270.250000,278.100006,273.685242,3450618
2014-12-12,279.750000,287.450012,275.549988,277.450012,273.045532,5222845
2014-12-15,275.549988,289.450012,274.500000,288.049988,283.477264,2084321
2014-12-16,286.799988,286.799988,272.000000,274.500000,270.142365,1933499
2014-12-17,273.649994,278.149994,267.549988,273.750000,269.404266,2231001
2014-12-18,278.000000,291.000000,277.649994,289.950012,285.347107,3335626
2014-12-19,292.000000,293.700012,286.100006,289.899994,285.297882,3204495
2014-12-22,290.600006,292.950012,285.100006,290.299988,285.691559,1909478
2014-12-23,291.549988,295.899994,287.000000,288.149994,283.575653,2092865
2014-12-24,287.899994,287.899994,282.000000,283.049988,278.556641,2631645
2014-12-26,284.399994,290.000000,283.299988,289.200012,284.609039,1208404
2014-12-29,291.450012,294.500000,287.950012,293.100006,288.447083,1377996
2014-12-30,293.799988,317.100006,293.799988,316.000000,310.983551,8904689
2014-12-31,316.799988,321.299988,311.399994,319.049988,313.985138,3559436
2015-01-01,319.000000,322.500000,316.250000,319.549988,314.477234,1456204
2015-01-02,319.350006,325.799988,318.049988,319.350006,314.280365,2894058
2015-01-05,320.450012,327.500000,319.350006,323.799988,318.659698,2099786
2015-01-06,321.649994,331.450012,315.600006,321.850006,316.740692,3672197
2015-01-07,321.950012,328.700012,317.399994,321.100006,316.002594,2981544
2015-01-08,326.000000,337.299988,323.549988,334.549988,329.239075,2932673
2015-01-09,339.899994,343.100006,327.350006,331.149994,325.893066,3543488
2015-01-12,332.149994,335.750000,325.549988,328.450012,323.235962,2990475
2015-01-13,330.200012,331.299988,320.750000,323.000000,317.872437,2688701
2015-01-14,324.000000,333.899994,322.649994,331.250000,325.991455,2272652
2015-01-15,334.000000,337.299988,326.250000,330.600006,325.351807,2140699
2015-01-16,329.799988,334.600006,326.000000,330.850006,325.597839,1970666
2015-01-19,332.049988,334.799988,326.600006,328.350006,323.137512,1362398
2015-01-20,329.000000,332.649994,326.850006,330.500000,325.253387,1091657
2015-01-21,330.350006,333.500000,326.200012,329.350006,324.121643,1514648
2015-01-22,329.049988,331.649994,327.000000,329.399994,324.170837,1376133
2015-01-23,332.000000,352.750000,330.100006,346.899994,341.393036,7519790
