Date,Open,High,Low,Close,Adj Close,Volume
2014-07-24,10958.200195,10994.549805,10909.750000,10928.500000,10928.500000,239800
2014-07-25,10933.150391,10958.849609,10675.750000,10788.349609,10788.349609,305100
2014-07-28,10783.500000,10833.900391,10719.750000,10753.599609,10753.599609,208100
2014-07-30,10743.250000,10833.900391,10698.049805,10823.549805,10823.549805,271300
2014-07-31,10807.549805,10895.250000,10807.549805,10838.200195,10838.200195,374900
2014-08-01,10749.099609,10910.650391,10733.799805,10763.349609,10763.349609,351800
2014-08-04,10792.099609,10891.750000,10792.099609,10876.950195,10876.950195,228500
2014-08-05,10889.400391,10956.250000,10847.599609,10950.599609,10950.599609,297700
2014-08-06,10920.400391,11026.650391,10862.549805,10881.000000,10881.000000,256500
2014-08-07,10861.500000,10912.200195,10807.799805,10829.950195,10829.950195,222300
2014-08-08,10742.049805,10742.049805,10602.750000,10644.849609,10644.849609,212400
2014-08-11,10721.049805,10769.500000,10721.049805,10745.099609,10745.099609,172900
2014-08-12,10773.950195,10829.500000,10763.000000,10819.099609,10819.099609,189200
2014-08-13,10794.500000,10867.700195,10605.400391,10703.799805,10703.799805,340100
2014-08-14,10713.250000,10816.900391,10667.700195,10809.849609,10809.849609,310400
2014-08-18,10780.200195,10995.700195,10780.200195,10988.250000,10988.250000,202700
2014-08-19,11023.650391,11103.500000,11023.650391,11100.099609,11100.099609,232400
2014-08-20,11118.400391,11167.849609,11087.900391,11135.049805,11135.049805,218300
2014-08-21,11151.950195,11256.599609,11134.599609,11181.799805,11181.799805,225800
2014-08-22,11211.900391,11244.900391,11181.400391,11202.450195,11202.450195,194300
2014-08-25,11223.049805,11261.950195,11091.299805,11101.750000,11101.750000,192200
2014-08-26,11079.150391,11140.500000,10992.650391,11122.950195,11122.950195,213400
2014-08-27,11175.849609,11215.950195,11121.700195,11159.750000,11159.750000,198200
2014-08-28,11194.950195,11214.450195,11087.299805,11114.049805,11114.049805,268900
2014-09-01,11151.200195,11340.599609,11151.200195,11334.900391,11334.900391,231600
2014-09-02,11349.849609,11433.049805,11349.849609,11397.349609,11397.349609,213100
2014-09-03,11439.500000,11527.299805,11439.500000,11509.549805,11509.549805,225000
2014-09-04,11504.549805,11545.599609,11410.549805,11535.700195,11535.700195,247900
2014-09-05,11552.049805,11624.000000,11498.799805,11568.150391,11568.150391,264700
2014-09-08,11627.299805,11732.150391,11617.549805,11726.049805,11726.049805,205000
2014-09-09,11756.200195,11791.650391,11696.599609,11777.299805,11777.299805,236000
2014-09-10,11741.549805,11812.450195,11725.299805,11752.799805,11752.799805,246000
2014-09-11,11792.200195,11876.450195,11764.700195,11866.950195,11866.950195,228600
2014-09-12,11893.450195,11924.099609,11864.450195,11916.299805,11916.299805,212400
2014-09-15,11879.150391,11983.500000,11836.250000,11944.750000,11944.750000,224800
2014-09-16,11954.950195,12000.599609,11484.599609,11503.549805,11503.549805,337100
2014-09-17,11585.099609,11626.549805,11403.750000,11576.450195,11576.450195,228600
2014-09-18,11563.049805,11813.900391,11545.950195,11803.049805,11803.049805,299200
2014-09-19,11846.099609,11897.000000,11712.349609,11731.750000,11731.750000,278100
2014-09-22,11678.150391,11727.599609,11648.799805,11703.349609,11703.349609,178400
2014-09-23,11703.799805,11760.599609,11470.250000,11481.099609,11481.099609,249700
2014-09-24,11484.099609,11530.599609,11275.650391,11397.849609,11397.849609,311000
2014-09-25,11396.299805,11436.849609,11136.299805,11174.450195,11174.450195,403200
2014-09-26,11120.450195,11319.200195,11054.950195,11296.599609,11296.599609,320600
2014-09-29,11314.750000,11447.299805,11314.750000,11394.150391,11394.150391,212000
