Date,Open,High,Low,Close,Adj Close,Volume
2014-12-10,368.299988,386.799988,368.299988,385.600006,377.134613,1033149
2014-12-11,386.000000,389.500000,377.000000,385.350006,376.890106,626629
2014-12-12,383.649994,387.700012,370.600006,373.899994,365.691498,552232
2014-12-15,370.799988,373.000000,363.000000,366.549988,358.502838,577805
2014-12-16,364.000000,365.649994,354.700012,360.000000,352.096649,723484
2014-12-17,357.250000,360.600006,345.000000,355.000000,347.206390,737187
2014-12-18,372.000000,381.700012,364.700012,377.250000,368.967926,1135786
2014-12-19,383.000000,385.399994,374.100006,376.600006,368.332184,637858
2014-12-22,375.000000,384.200012,373.000000,381.950012,373.564758,589095
2014-12-23,383.000000,384.000000,373.100006,374.850006,366.620636,492420
2014-12-24,376.000000,377.700012,368.000000,368.750000,360.654572,675773
2014-12-26,371.000000,371.950012,364.399994,367.250000,359.187469,387835
2014-12-29,369.000000,376.250000,367.500000,373.950012,365.740387,351585
2014-12-30,375.000000,379.399994,372.700012,377.100006,368.821228,340255
2014-12-31,376.399994,384.350006,374.450012,381.649994,373.271301,575804
2015-01-01,381.299988,382.549988,377.799988,379.799988,371.461945,269753
2015-01-02,379.799988,388.500000,379.799988,382.799988,374.396088,623981
2015-01-05,384.000000,389.600006,382.799988,385.899994,377.428040,551576
2015-01-06,382.200012,383.399994,369.200012,372.700012,364.517853,519159
2015-01-07,372.899994,377.399994,370.000000,374.600006,366.376099,397373
2015-01-08,380.000000,380.000000,368.750000,372.899994,364.713440,672501
2015-01-09,376.000000,376.899994,369.399994,372.899994,364.713440,985975
2015-01-12,373.250000,378.500000,370.600006,376.799988,368.527832,344364
2015-01-13,375.850006,384.000000,370.799988,372.200012,364.028809,715002
2015-01-14,373.049988,376.950012,369.000000,371.600006,363.441986,404068
2015-01-15,373.700012,379.000000,369.700012,375.899994,367.647552,648144
2015-01-16,380.000000,394.000000,376.950012,387.200012,378.699524,1387070
2015-01-19,389.200012,395.500000,389.200012,394.500000,385.839264,913385
2015-01-20,397.000000,398.899994,390.450012,393.600006,384.958984,603286
2015-01-21,394.600006,408.549988,390.450012,406.950012,398.015900,1885665
2015-01-22,407.000000,409.200012,393.100006,399.750000,390.973969,785747
2015-01-23,403.149994,405.450012,394.000000,398.850006,390.093750,709214
2015-01-27,399.000000,407.000000,393.250000,400.649994,391.854218,1306898
2015-01-28,409.399994,437.799988,404.000000,433.250000,423.738525,6282139
2015-01-29,427.799988,444.000000,425.649994,441.799988,432.100800,3488597
2015-01-30,441.950012,442.850006,428.750000,430.600006,421.146729,970722
2015-02-02,430.000000,437.799988,427.350006,433.200012,423.689606,1106879
2015-02-03,435.899994,448.399994,430.549988,432.299988,422.809387,2245302
2015-02-04,434.500000,443.950012,427.000000,430.049988,420.608734,1392064
2015-02-05,431.899994,431.899994,413.350006,417.799988,408.627716,1040089
2015-02-06,425.899994,427.000000,409.100006,416.700012,407.551880,1116247
2015-02-09,409.100006,421.600006,409.100006,412.250000,403.199554,813004
2015-02-10,409.850006,430.600006,409.799988,425.200012,415.865295,1092699
2015-02-11,428.299988,433.750000,423.100006,426.250000,416.892181,1113419
2015-02-12,429.000000,433.899994,423.500000,425.750000,416.403168,1131467
2015-02-13,427.500000,432.000000,423.649994,426.700012,417.332336,935029
2015-02-16,432.399994,432.399994,414.950012,417.500000,408.334320,842771
2015-02-18,419.149994,432.500000,416.299988,429.750000,420.315338,1093702
2015-02-19,434.850006,442.700012,430.799988,432.750000,423.249512,1517003
2015-02-20,434.000000,439.000000,422.500000,435.350006,425.792450,1033950
2015-02-23,435.299988,435.350006,418.000000,419.750000,410.534882,1004925
2015-02-24,421.250000,426.450012,418.000000,422.450012,413.175629,748836
2015-02-25,424.399994,428.000000,418.500000,422.250000,412.980011,788068
2015-02-26,423.899994,426.000000,416.100006,423.600006,414.300385,726024
2015-02-27,425.100006,436.750000,421.299988,435.350006,425.792450,826541
2015-02-28,null,null,null,null,null,null
2015-03-02,420.700012,420.750000,408.149994,412.500000,403.444061,1124323
2015-03-03,412.600006,421.799988,410.450012,415.899994,406.769379,719506
2015-03-04,424.700012,424.700012,409.500000,411.399994,402.368225,655400
2015-03-05,412.000000,415.649994,400.299988,405.750000,396.842224,959120
2015-03-09,404.000000,405.700012,395.200012,399.700012,390.925079,648441
2015-03-10,402.399994,407.299988,399.700012,405.399994,396.499908,657218
2015-03-11,408.700012,408.700012,398.000000,399.850006,391.071777,410728
2015-03-12,401.500000,406.700012,400.250000,404.600006,395.717529,349974
2015-03-13,406.000000,407.549988,397.200012,398.750000,389.995880,428548
2015-03-16,399.799988,400.000000,391.700012,397.600006,388.871185,399268
2015-03-17,399.000000,405.750000,395.799988,404.450012,395.570801,562431
2015-03-18,406.950012,406.950012,400.000000,401.799988,392.978943,309016
2015-03-19,403.950012,414.700012,400.200012,404.799988,395.913086,1023111
2015-03-20,405.600006,407.799988,390.799988,392.700012,384.078766,461698
2015-03-23,394.500000,396.600006,385.000000,390.850006,382.269348,498876
2015-03-24,391.049988,396.000000,385.549988,387.250000,378.748383,408226
2015-03-25,388.100006,393.950012,385.000000,390.450012,381.878174,636108
2015-03-26,390.000000,393.700012,385.000000,389.750000,381.193542,1419196
2015-03-27,389.649994,395.600006,385.000000,392.850006,384.225464,670005
2015-03-30,395.000000,397.450012,387.149994,391.350006,382.758392,420532
2015-03-31,392.850006,397.950012,390.549988,391.600006,383.002899,438421
2015-04-01,391.399994,394.250000,387.350006,390.399994,381.829254,452828
2015-04-06,395.000000,404.399994,391.000000,403.600006,394.739471,904638
2015-04-07,404.500000,410.700012,401.500000,406.600006,397.673584,636179
2015-04-08,407.600006,411.399994,404.500000,407.450012,398.504944,534912
2015-04-09,410.000000,410.000000,398.149994,399.950012,391.169586,756901
2015-04-10,399.700012,406.549988,399.049988,400.549988,391.756378,969396
2015-04-13,401.000000,418.450012,401.000000,414.850006,405.742493,1399618
